TT     PID    AT     CT     IO_D     WT      RT     TRT    
Migration%:     RTF= 0.0%,     MaxW= 0.0%
Work Steal%: 2.7%
Forked Processes: 80.9%
Killed Processes: 1.6%
Processes Completed Before Deadline: 73.8%

Processors: 19 [10 FCFS, 0 SJF, 0 RR, 9 EDF]
Processors Load
p1 = 2.9%,     p2 = 2.9%,     p3 = 2.7%,     p4 = 2.7%,     p5 = 2.5%,     p6 = 2.4%,     p7 = 2.4%,     p8 = 2.4%,     p9 = 2.4%,     p10 = 2.4%,     p11 = 2.8%,     p12 = 2.3%,     p13 = 1.9%,     p14 = 2.2%,     p15 = 1.6%,     p16 = 1.1%,     p17 = 1.2%,     p18 = 0.7%,     p19 = 0.8%,     

Processors Utiliz
p1 = 94.0%,     p2 = 94.0%,     p3 = 87.8%,     p4 = 89.8%,     p5 = 81.7%,     p6 = 79.3%,     p7 = 80.7%,     p8 = 77.9%,     p9 = 78.9%,     p10 = 79.9%,     p11 = 92.8%,     p12 = 74.9%,     p13 = 62.0%,     p14 = 70.9%,     p15 = 51.8%,     p16 = 36.9%,     p17 = 41.2%,     p18 = 22.3%,     p19 = 27.5%,     
Avg utilization = 69.7%
